2018-03-05 09:21:40,848 [Worker-39] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: dev.mvc:controller:1.0.0-BUILD-SNAPSHOT @ C:\Users\504CLASS 01\Desktop\ILuvStudy_v1_0\pom.xml.
2018-03-05 15:13:50,897 [Worker-156] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 15:13:50,900 [Worker-156] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 15:13:50,907 [Worker-156] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 15:37:10,392 [Worker-170] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 15:37:10,401 [Worker-170] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2018-03-05 15:37:10,407 [Worker-170] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 15:37:10,412 [Worker-170] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 15:37:32,798 [Worker-175] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 15:37:32,826 [Worker-175] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2018-03-05 15:37:32,828 [Worker-175] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 15:37:32,837 [Worker-175] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 15:39:15,270 [Worker-169] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 15:39:15,284 [Worker-169] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2018-03-05 15:39:15,289 [Worker-169] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 15:39:15,294 [Worker-169] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 15:39:36,792 [Worker-174] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 15:39:36,798 [Worker-174] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2018-03-05 15:39:36,800 [Worker-174] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 15:39:36,807 [Worker-174] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 15:41:32,821 [Worker-177] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 15:41:32,831 [Worker-177] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2018-03-05 15:41:32,837 [Worker-177] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 15:41:32,842 [Worker-177] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 15:42:02,482 [Worker-174] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 15:42:02,490 [Worker-174] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2018-03-05 15:42:02,491 [Worker-174] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 15:42:02,505 [Worker-174] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 15:42:34,457 [Worker-170] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 15:42:34,467 [Worker-170] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2018-03-05 15:42:34,495 [Worker-170] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 15:42:34,501 [Worker-170] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 15:43:01,399 [Worker-174] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 15:43:01,408 [Worker-174] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2018-03-05 15:43:01,411 [Worker-174] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 15:43:01,419 [Worker-174] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 16:03:14,875 [Worker-189] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 16:03:14,953 [Worker-189] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2018-03-05 16:03:14,969 [Worker-189] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 16:03:14,978 [Worker-189] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 16:12:12,192 [Worker-186] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 16:12:12,200 [Worker-186] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2018-03-05 16:12:12,202 [Worker-186] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 16:12:12,206 [Worker-186] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 16:20:10,301 [Worker-180] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 16:20:10,315 [Worker-180] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-03-05 16:20:10,322 [Worker-180] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 16:20:10,327 [Worker-180] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 16:55:52,775 [Worker-217] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 16:55:52,784 [Worker-217] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-03-05 16:55:52,789 [Worker-217] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 16:55:52,794 [Worker-217] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 18:06:36,765 [Worker-244] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 18:06:36,791 [Worker-244] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 18:06:36,800 [Worker-244] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 18:06:36,804 [Worker-244] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 18:06:58,767 [Worker-237] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 18:06:58,772 [Worker-237] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 18:06:58,773 [Worker-237] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 18:06:58,778 [Worker-237] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 19:00:00,185 [Worker-271] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 19:00:00,209 [Worker-271] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 19:00:00,224 [Worker-271] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 19:00:00,236 [Worker-271] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 19:01:10,603 [Worker-274] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 19:01:10,616 [Worker-274] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 19:01:10,618 [Worker-274] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 19:01:10,626 [Worker-274] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 19:01:28,683 [Worker-274] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 19:01:28,700 [Worker-274] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 19:01:28,704 [Worker-274] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 19:01:28,708 [Worker-274] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 19:02:36,110 [Worker-266] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 19:02:36,123 [Worker-266] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 19:02:36,124 [Worker-266] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 19:02:36,134 [Worker-266] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 19:03:16,968 [Worker-273] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 19:03:16,985 [Worker-273] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 19:03:16,993 [Worker-273] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 19:03:17,000 [Worker-273] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 19:03:55,484 [Worker-274] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 19:03:55,518 [Worker-274] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 19:03:55,521 [Worker-274] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 19:03:55,527 [Worker-274] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 19:04:15,097 [Worker-270] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 19:04:15,118 [Worker-270] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 19:04:15,124 [Worker-270] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 19:04:15,130 [Worker-270] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 19:04:31,304 [Worker-265] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 19:04:31,331 [Worker-265] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 19:04:31,333 [Worker-265] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 19:04:31,345 [Worker-265] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 19:05:02,882 [Worker-274] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 19:05:02,903 [Worker-274] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 19:05:02,911 [Worker-274] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 19:05:02,917 [Worker-274] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 19:05:17,871 [Worker-271] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-05 19:05:17,881 [Worker-271] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-05 19:05:17,882 [Worker-271] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
